,metamorphic contract address,bytecode changed,factory address,metamorphic contract open source,factory contract open source
0,0x000000000000006F6502B7F2bbaC8C30A3f67E9a,1,0x3452954838762313786992245132387393331546,0,0
1,0x000000000000084e91743124a982076C59f10084,1,0x3358614DA7453F565554df679Af3994Bb2405192,0,0
2,0x0000000000000Eb4ec62758aaE93400B3E5f7f18,1,0xbAd5531e175167cd89E8FDC099B3Ec43D83c48B7,0,0
3,0x000000000000740A22fA209CF6806D38f7605385,1,0x3358614DA7453F565554df679Af3994Bb2405192,0,0
4,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,1,0x55757942b19E543a7D4c909F952f5509b10b66B3,0,0
5,0x000000000000A32dC5DD625C107898A1C72Ad34A,1,0x5D462DA79064c82004Ac913179558C3106255d5B,0,0
6,0x000000000000D736BD9b915d8fE98e9c507dF85a,1,0x167f2d3222E2c27CA5E3D49c17eA41B13fcDc104,0,0
7,0x000000000000F095b1B50De78b7a6bC4697b2927,1,0x50f9cf6E81b3fA9D83A146a91E09afC39cE51F13,0,0
8,0x00000000000B69eC332f49b7c4d2b101f93c3bed,1,0x8546130f6C53501649DCF3FdCD7e90cf2Cc1f894,0,0
9,0x0000000000159Bc46c893771699455745Ba335C8,1,0x55757942b19E543a7D4c909F952f5509b10b66B3,0,0
10,0x00000000002bde777710C370E08Fc83D61b2B8E1,1,0x5D462DA79064c82004Ac913179558C3106255d5B,0,0
11,0x0000000000438f975CBDE76D5FDD1aA76be46577,1,0xBF4D88af4ef210cCF5b4383372b85EE8655cb896,0,0
12,0x00000000005af5bf8581e5143248bCF395Abb892,1,0x5D462DA79064c82004Ac913179558C3106255d5B,0,0
13,0x00000000007e35dff0153a18de63c4F58f04fD1C,1,0x48c3af846025110d1b29670553439b2C1FA7191a,0,0
14,0x000000005736775Feb0C8568e7DEe77222a26880,1,0xb8eea0963f9535a62b55C1417853d112cD93d78b,0,0
15,0x00000000751eDF02C727eA9d0C1c8E64F169E343,1,0x6c0644Ad0D3a961608BA5459bCe291400E3207Ef,0,0
16,0x000000009042b40070C8f83BFf1293005Dc25257,1,0x00000000c9329EAb0edE00C18accAD77DB00AA73,0,0
17,0x000000009B988FbecFd83C55252f78592E609648,1,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0,0
18,0x009EeDE3040800db000064AB00Bd00f1A3000B38,1,0x19bf8beDc2BbDCfd2b8f287f4120e4e50dDbcA4b,0,0
19,0x00f8d52A00f60094ebF903cE0000DEFB00f20000,1,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0,0
20,0x1b3006D57d5d9653a4ecAEa6CFb0fd72a1537cC9,1,0x62a86D2850Ee76B579637f860DcF295692b62b54,0,0
21,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,1,0x055658Fa70d40a5fA3d0e3e66c29F7E7ADd08553,0,0
22,0x45503C34EE615c4Ed5FE071fc6CCEe06c049B1E3,1,0x2319C999808d589B5Fb33349B182F000d281Dc65,0,0
23,0x49307d775728dAF1d4736ab762DE0ceFd035e323,1,0xc42462665F523C0E6EF57A6Ba56e60e1cD667231,0,0
24,0x4BD372Cd9BEdD45e0e23c769Bb1879dd055a32F2,1,0x0D18356D86893a1377f49b6aAbCc53597990D801,0,0
25,0x577a32AA9C40cF4266E49fC1e44c749c356309bd,1,0x4261e2085975FeA6618d15e58A9b6ABDdaF8D3BF,0,0
26,0x7F000000612813280074000600F710002BDBAa9c,1,0x00000000002B13cCcEC913420A21e4D11b2DCd3C,0,1
27,0xf3c62891B48c5152dcA70E0da62F7E1D8C2cc5bb,1,0x2515b598Ba3d02fA6977456D11955C04d0fBc845,0,0
